# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
援	《平水韵》去声部 十七霰、上平声部 十三元；《词林正韵》仄声 第七部、平声 第七部
揵	《平水韵》下平声部 一先、上声部 十三阮
揾	《平水韵》上声部 十二吻、去声部 十四愿；《词林正韵》仄声 第六部
搒	《平水韵》去声部 二十三漾、下平声部 八庚
搦	《平水韵》入声部 入声三觉、入声部 入声十一陌；《词林正韵》入声 第十六部
搴	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》平声 第七部
摇	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》平声 第八部
摊	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》平声 第七部
摎	《平水韵》下平声部 三肴、下平声部 十一尤
摐	《平水韵》上平声部 三江、上平声部 二冬
摘	《平水韵》入声部 入声十一陌、入声部 入声十二锡；《词林正韵》入声 第十七部
摩	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》平声 第九部
摲	《平水韵》去声部 三十陷、上声部 二十九豏
摵	《平水韵》入声部 入声一屋、入声部 入声十一陌
摽	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸
撕	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
撞	《平水韵》上平声部 三江、去声部 三绛；《词林正韵》仄声 第二部、平声 第二部
播	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
撮	《平水韵》上声部 九蟹、入声部 入声七曷；《词林正韵》入声 第十八部
撰	《平水韵》去声部 十七霰、上声部 十五潸、上声部 十六铣；《词林正韵》仄声 第七部
操	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
擐	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》平声 第七部
擖	《平水韵》入声部 入声八黠、入声部 入声十七洽
攒	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》平声 第七部
攘	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
收	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部
放	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
救	《平水韵》上平声部 七虞、去声部 二十六宥、下平声部 十一尤；《词林正韵》仄声 第十二部
教	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
敛	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
散	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
敦	《平水韵》去声部 十一队、上平声部 十三元、上平声部 十四寒、去声部 十四愿；《词林正韵》仄声 第三部、平声 第六部
数	《平水韵》去声部 七遇、上声部 七麌、入声部 入声三觉、入声部 入声二沃；《词林正韵》入声 第十六部、仄声 第四部
敲	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
斁	《平水韵》去声部 七遇、入声部 入声十一陌
文	《平水韵》上平声部 十二文；《词林正韵》平声 第六部、入声 第十八部
斐	《平水韵》上声部 五尾、上平声部 五微；《词林正韵》仄声 第三部
斓	《平水韵》上平声部 十五删、去声部 十五翰；《词林正韵》平声 第七部
斗	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
料	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
斤	《平水韵》去声部 十三问、上平声部 十二文；《词林正韵》平声 第六部
断	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
斮	《平水韵》入声部 入声三觉、入声部 入声十药
施	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
旄	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》平声 第八部
旋	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
族	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
旗	《平水韵》上平声部 五微、上平声部 四支；《词林正韵》平声 第三部
易	《平水韵》入声部 入声十一陌、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
昔	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部
昧	《平水韵》去声部 九泰、去声部 十一队；《词林正韵》仄声 第三部
昫	《平水韵》上平声部 七虞、去声部 七遇、上声部 七麌
昭	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》平声 第八部
昴	《平水韵》下平声部 七阳、上声部 十八巧；《词林正韵》仄声 第八部
昵	《平水韵》入声部 入声四质、上声部 八荠；《词林正韵》仄声 第三部、入声 第十七部
晅	《平水韵》上平声部 十三元、上声部 十三阮
晏	《平水韵》去声部 十五翰、去声部 十六谏；《词林正韵》仄声 第七部
晒	《平水韵》去声部 十卦、去声部 四寘；《词林正韵》仄声 第五部
晟	《平水韵》去声部 二十四敬、下平声部 八庚
晰	《平水韵》入声部 入声九屑、入声部 入声十二锡、去声部 八霁；《词林正韵》入声 第十七部
晻	《平水韵》上声部 二十七感、上声部 二十八琰
暍	《平水韵》入声部 入声七曷、入声部 入声六月
暗	《平水韵》上声部 二十七感、去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部
暝	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》仄声 第十一部、平声 第十一部
暨	《平水韵》去声部 五未、去声部 四寘；《词林正韵》仄声 第三部
暴	《平水韵》去声部 二十号、入声部 入声一屋、入声部 入声三觉；《词林正韵》仄声 第八部
暵	《平水韵》去声部 十五翰、上声部 十四旱
曀	《平水韵》去声部 八霁、去声部 四寘
曚	《平水韵》上平声部 一东、上声部 一董
更	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
曼	《平水韵》上平声部 十四寒、去声部 十四愿；《词林正韵》仄声 第七部
服	《平水韵》上声部 二十五有、入声部 入声一屋；《词林正韵》入声 第十五部
朏	《平水韵》上声部 五尾、入声部 入声六月、去声部 十一队
朒	《平水韵》入声部 入声一屋、入声部 入声八黠
朓	《平水韵》下平声部 二萧、上声部 十七筱、去声部 十八啸
朕	《平水韵》上声部 二十六寝、上声部 十一轸；《词林正韵》仄声 第十三部
望	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
札	《平水韵》入声部 入声八黠、入声部 入声十七洽；《词林正韵》入声 第十九部、入声 第十八部
术	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
朴	《平水韵》入声部 入声一屋、入声部 入声三觉；《词林正韵》入声 第十六部
机	《平水韵》上平声部 五微、上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
朻	《平水韵》上声部 二十五有、下平声部 十一尤
杀	《平水韵》入声部 入声八黠、去声部 十卦；《词林正韵》入声 第十八部
杈	《平水韵》去声部 二十二祃、下平声部 六麻
杓	《平水韵》下平声部 二萧、入声部 入声十药
杖	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
杷	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》平声 第十部
极	《平水韵》入声部 入声十三职、入声部 入声十六叶；《词林正韵》入声 第十七部
枅	《平水韵》下平声部 一先、上平声部 八齐
枕	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
枞	《平水韵》上平声部 三江、上平声部 二冬
枪	《平水韵》下平声部 七阳、下平声部 八庚；《词林正韵》平声 第二部
枷	《平水韵》下平声部 五歌、下平声部 六麻；《词林正韵》平声 第十部
枸	《平水韵》上平声部 七虞、上声部 七麌、上声部 二十五有、下平声部 十一尤
枹	《平水韵》上平声部 七虞、下平声部 三肴、下平声部 十一尤
柅	《平水韵》上平声部 四支、上声部 四纸
柎	《平水韵》上平声部 七虞、上声部 七麌
某	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
柚	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部
柜	《平水韵》上声部 六语、去声部 四寘；《词林正韵》仄声 第三部
柞	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十六部
柟	《平水韵》上声部 二十八琰、下平声部 十三覃、下平声部 十四盐
柢	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
柬	《平水韵》去声部 十七霰、上声部 十五潸；《词林正韵》仄声 第七部
柴	《平水韵》上平声部 九佳、去声部 四寘；《词林正韵》平声 第五部
栅	《平水韵》入声部 入声十一陌、去声部 十六谏；《词林正韵》入声 第十七部
标	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》平声 第八部
栈	《平水韵》上声部 十五潸、去声部 十六谏、上声部 十六铣；《词林正韵》仄声 第七部
树	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
栜	《平水韵》入声部 入声二沃、上声部 四纸
栩	《平水韵》上声部 七麌、下平声部 八庚；《词林正韵》仄声 第四部
栲	《平水韵》上声部 十九皓、下平声部 四豪；《词林正韵》仄声 第八部
核	《平水韵》入声部 入声九屑、入声部 入声六月、入声部 入声十一陌；《词林正韵》入声 第十七部、入声 第十八部
格	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部、入声 第十六部
栽	《平水韵》去声部 十一队、上平声部 十灰；《词林正韵》平声 第五部
桁	《平水韵》下平声部 七阳、去声部 二十三漾、下平声部 八庚；《词林正韵》仄声 第二部、平声 第二部
桄	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部
桅	《平水韵》上平声部 十灰、上声部 四纸；《词林正韵》平声 第三部
桋	《平水韵》上平声部 八齐、上平声部 四支
桔	《词林正韵》入声 第十七部、入声 第十八部
桠	《平水韵》上声部 二十哿、下平声部 六麻；《词林正韵》仄声 第九部、平声 第十部
桡	《平水韵》下平声部 二萧、去声部 十九效；《词林正韵》平声 第八部
桦	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》仄声 第十部
桭	《平水韵》下平声部 八庚、上平声部 十一真
桴	《平水韵》上平声部 七虞、下平声部 十一尤；《词林正韵》平声 第四部
梀	《平水韵》入声部 入声一屋、入声部 入声十一陌
梡	《平水韵》上平声部 十四寒、上声部 十四旱
梦	《平水韵》上平声部 一东、去声部 一送；《词林正韵》仄声 第一部
梨	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
梼	《平水韵》下平声部 十一尤、下平声部 四豪
棁	《平水韵》入声部 入声九屑、入声部 入声六月
森	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部
棰	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
棷	《平水韵》上声部 二十五有、下平声部 十一尤
棹	《平水韵》入声部 入声三觉、去声部 十九效；《词林正韵》仄声 第八部
植	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》入声 第十七部
椐	《平水韵》去声部 六御、上平声部 六鱼
椑	《平水韵》上平声部 八齐、上平声部 四支
椔	《平水韵》去声部 四寘、上平声部 四支
椠	《平水韵》上声部 二十七感、去声部 二十九艳；《词林正韵》仄声 第十四部
椮	《平水韵》上声部 二十七感、下平声部 十二侵
椳	《平水韵》上平声部 十灰、上声部 十贿
楅	《平水韵》入声部 入声一屋、入声部 入声十三职
楔	《平水韵》入声部 入声九屑、入声部 入声八黠；《词林正韵》入声 第十八部
楚	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
楩	《平水韵》下平声部 一先、上声部 十六铣
楫	《平水韵》入声部 入声十六叶；《词林正韵》入声 第十七部、入声 第十八部
楬	《平水韵》入声部 入声九屑、入声部 入声八黠、入声部 入声六月
楰	《平水韵》上平声部 七虞、上声部 七麌
楷	《平水韵》上平声部 九佳、上声部 九蟹；《词林正韵》仄声 第五部、平声 第五部
概	《平水韵》去声部 五未、去声部 十一队；《词林正韵》仄声 第五部
榜	《平水韵》上声部 二十二养、去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第二部
槌	《平水韵》去声部 四寘、上平声部 四支
槐	《平水韵》上平声部 九佳、上平声部 十灰；《词林正韵》平声 第三部、平声 第五部
槭	《平水韵》入声部 入声一屋、入声部 入声十一陌
槱	《平水韵》上声部 二十五有、去声部 二十六宥、下平声部 十一尤
樏	《平水韵》上平声部 四支、上声部 四纸
樠	《平水韵》上平声部 十三元、上平声部 十四寒
横	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
橇	《平水韵》下平声部 二萧、入声部 入声九屑、去声部 八霁
橑	《平水韵》下平声部 二萧、上声部 十九皓
橙	《平水韵》去声部 二十五径、下平声部 八庚；《词林正韵》平声 第十一部
橛	《平水韵》入声部 入声六月、去声部 八霁；《词林正韵》入声 第十八部
橦	《平水韵》上平声部 一东、上平声部 三江、上平声部 二冬
檠	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
櫜	《平水韵》上声部 十九皓、下平声部 四豪
欐	《平水韵》上声部 八荠、去声部 八霁
欙	《平水韵》上平声部 四支、上声部 四纸
欠	《平水韵》去声部 三十陷、去声部 二十九艳；《词林正韵》仄声 第十四部
欤	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》平声 第四部
欧	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》平声 第十二部
欨	《平水韵》上平声部 七虞、上声部 七麌
欬	《平水韵》去声部 十一队、去声部 十卦、去声部 四寘
欱	《平水韵》入声部 入声十七洽、入声部 入声十五合
欷	《平水韵》上平声部 五微、去声部 五未；《词林正韵》平声 第三部
欸	《平水韵》上平声部 十灰、上声部 十贿
歃	《平水韵》入声部 入声十七洽、入声部 入声十六叶；《词林正韵》入声 第十九部
歅	《平水韵》下平声部 一先、上平声部 十一真
歉	《平水韵》上声部 二十九豏、上声部 二十八琰；《词林正韵》仄声 第十四部
歊	《平水韵》下平声部 二萧、入声部 入声二沃
歙	《平水韵》入声部 入声十六叶、入声部 入声十四缉；《词林正韵》入声 第十七部
歜	《平水韵》上声部 二十七感、入声部 入声二沃
正	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
殷	《平水韵》上声部 十二吻、上平声部 十二文、上平声部 十五删；《词林正韵》平声 第七部、平声 第六部
母	《平水韵》上平声部 七虞、上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
每	《平水韵》上声部 七麌、上声部 十贿；《词林正韵》仄声 第三部
比	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
氏	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
氐	《平水韵》上声部 八荠、上平声部 八齐
汇	《平水韵》去声部 五未、上声部 十贿；《词林正韵》仄声 第三部
汉	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部
汋	《平水韵》入声部 入声三觉、入声部 入声十药
汎	《平水韵》上平声部 一东、去声部 三十陷、去声部 十二震
汕	《平水韵》上声部 十五潸、去声部 十六谏；《词林正韵》仄声 第七部
汗	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
污	《平水韵》上平声部 七虞、去声部 七遇、下平声部 六麻；《词林正韵》仄声 第四部、平声 第四部
汤	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
汧	《平水韵》下平声部 一先、去声部 十七霰
汨	《平水韵》入声部 入声六月、入声部 入声十二锡、入声部 入声四质；《词林正韵》入声 第十七部
汩	《平水韵》入声部 入声六月、入声部 入声十二锡、入声部 入声四质
汶	《平水韵》去声部 十三问、上平声部 十二文；《词林正韵》平声 第六部
汹	《平水韵》上平声部 二冬、上声部 二肿；《词林正韵》平声 第一部
沄	《平水韵》上平声部 十三元、上平声部 十二文
沅	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第七部、平声 第七部
沈	《平水韵》去声部 二十七沁、上声部 二十六寝、下平声部 十二侵；《词林正韵》仄声 第十三部、平声 第十三部
沌	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第六部
沕	《平水韵》入声部 入声五物、入声部 入声四质
沤	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》仄声 第十二部、平声 第十二部
沮	《平水韵》去声部 六御、上声部 六语、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
沱	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》平声 第九部
沴	《平水韵》去声部 八霁、上声部 十六铣
沸	《平水韵》去声部 五未、入声部 入声五物；《词林正韵》仄声 第三部、入声 第十八部
油	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部
治	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
沾	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
泄	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》入声 第十八部
泌	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
泑	《平水韵》上声部 二十五有、下平声部 十一尤
泚	《平水韵》上声部 八荠、上声部 四纸；《词林正韵》仄声 第三部
泞	《平水韵》去声部 二十五径、上声部 二十四迥；《词林正韵》仄声 第十一部
泡	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
泥	《平水韵》上声部 八荠、去声部 八霁、上平声部 八齐；《词林正韵》仄声 第三部、平声 第三部
泫	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
泯	《平水韵》上平声部 十一真、上声部 十一轸；《词林正韵》仄声 第六部、平声 第六部
泱	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
泶	《平水韵》入声部 入声三觉、入声部 入声二沃
泷	《平水韵》上平声部 三江；《词林正韵》平声 第一部、平声 第二部
泺	《平水韵》入声部 入声十二锡、入声部 入声十药
泻	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部
泽	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部
泾	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》仄声 第十一部、平声 第十一部
洁	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十八部
洒	《平水韵》上声部 九蟹、上声部 二十一马；《词林正韵》仄声 第五部、仄声 第十部
洗	《平水韵》上声部 八荠、上声部 十六铣；《词林正韵》仄声 第三部
洚	《平水韵》上平声部 一东、上平声部 三江、去声部 三绛
洞	《平水韵》上声部 一董、去声部 一送；《词林正韵》仄声 第一部
洮	《平水韵》下平声部 二萧、下平声部 四豪；《词林正韵》平声 第八部
洳	《平水韵》去声部 六御、上平声部 六鱼
洹	《平水韵》上平声部 十三元、上平声部 十四寒
洼	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
浍	《平水韵》去声部 九泰、去声部 十卦
济	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
浏	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》平声 第十二部
浑	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》平声 第六部
浒	《平水韵》上声部 七麌、上声部 六语；《词林正韵》仄声 第四部
浙	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》入声 第十八部
浥	《平水韵》入声部 入声十五合、入声部 入声十四缉；《词林正韵》入声 第十七部
浪	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
浮	《平水韵》上平声部 七虞、下平声部 十一尤；《词林正韵》平声 第十二部
浸	《平水韵》去声部 二十七沁、上声部 二十六寝、下平声部 十二侵；《词林正韵》仄声 第十三部
涂	《平水韵》上平声部 七虞、上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第四部
涎	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
涑	《平水韵》入声部 入声一屋、入声部 入声十一陌、下平声部 十一尤
涕	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
涝	《平水韵》去声部 二十号、上声部 十九皓、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
涢	《平水韵》上声部 十一轸、上平声部 十二文
涨	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部
涯	《平水韵》上平声部 九佳、下平声部 六麻、上平声部 四支；《词林正韵》平声 第三部、平声 第五部、平声 第十部
涷	《平水韵》上平声部 一东、去声部 一送
涸	《平水韵》去声部 七遇、入声部 入声十药；《词林正韵》入声 第十六部
淙	《平水韵》上平声部 三江、去声部 三绛、上平声部 二冬；《词林正韵》平声 第一部
淞	《平水韵》去声部 一送、上平声部 二冬；《词林正韵》平声 第一部
淡	《平水韵》上声部 二十七感、去声部 二十八勘；《词林正韵》仄声 第十四部
淤	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
淦	《平水韵》上声部 七麌、去声部 二十八勘、下平声部 十三覃
淰	《平水韵》上声部 二十九豏、上声部 二十八琰、上声部 二十六寝
深	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部
淹	《平水韵》去声部 三十陷、下平声部 十四盐；《词林正韵》平声 第十四部
渎	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
渐	《平水韵》去声部 二十九艳、上声部 二十八琰、下平声部 十四盐；《词林正韵》仄声 第十四部、平声 第十四部
渗	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》仄声 第十三部
渫	《平水韵》入声部 入声九屑、入声部 入声十七洽
渰	《平水韵》上声部 二十八琰、下平声部 十三覃
湑	《平水韵》上声部 六语、上平声部 六鱼
湛	《平水韵》上声部 二十九豏、下平声部 十三覃、下平声部 十二侵；《词林正韵》仄声 第十四部
湩	《平水韵》去声部 一送、上声部 二肿
湫	《平水韵》下平声部 十一尤、上声部 十七筱；《词林正韵》平声 第十二部
湮	《平水韵》下平声部 一先、上平声部 十一真；《词林正韵》平声 第七部、平声 第六部
湲	《平水韵》下平声部 一先、上平声部 十三元、上平声部 十五删；《词林正韵》平声 第七部
湾	《平水韵》上平声部 十五删、上平声部 十四寒；《词林正韵》平声 第七部
溅	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
溇	《平水韵》上平声部 七虞、上声部 七麌、上声部 二十五有
溉	《平水韵》去声部 五未、去声部 十一队；《词林正韵》仄声 第三部、仄声 第五部
溟	《平水韵》下平声部 九青、上声部 二十四迥；《词林正韵》仄声 第十一部、平声 第十一部
溲	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部
溶	《平水韵》上平声部 二冬、上声部 二肿；《词林正韵》平声 第一部
溷	《平水韵》上平声部 十三元、去声部 十四愿；《词林正韵》仄声 第六部
滈	《平水韵》入声部 入声三觉、上声部 十九皓
滑	《平水韵》入声部 入声八黠、入声部 入声六月；《词林正韵》入声 第十八部
滥	《平水韵》上声部 二十九豏、去声部 二十八勘；《词林正韵》仄声 第十四部
滩	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》平声 第七部
滫	《平水韵》上声部 二十五有、下平声部 十一尤
漂	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
漕	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》平声 第八部
漩	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部
漫	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
漯	《平水韵》入声部 入声十五合、上声部 四纸
漼	《平水韵》上平声部 十灰、上声部 十贿
潋	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
潎	《平水韵》入声部 入声九屑、去声部 八霁
潏	《平水韵》入声部 入声九屑、入声部 入声四质
潜	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
潢	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
潦	《平水韵》去声部 二十号、下平声部 二萧、上声部 十九皓；《词林正韵》仄声 第八部
潸	《平水韵》上平声部 十五删、上声部 十五潸；《词林正韵》仄声 第七部、平声 第七部
潺	《平水韵》下平声部 一先、上平声部 十五删；《词林正韵》平声 第七部
澌	《平水韵》上平声部 八齐、去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
澜	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》平声 第七部
澳	《平水韵》去声部 二十号、入声部 入声一屋
澹	《平水韵》上声部 二十七感、去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部
澼	《平水韵》入声部 入声十一陌、入声部 入声十二锡
濈	《平水韵》入声部 入声十七洽、入声部 入声十四缉
濊	《平水韵》去声部 九泰、入声部 入声七曷、去声部 十一队
濞	《平水韵》去声部 八霁、去声部 四寘
濩	《平水韵》去声部 七遇、入声部 入声十药
瀁	《平水韵》去声部 二十三漾、上声部 二十二养
瀌	《平水韵》下平声部 二萧、下平声部 十一尤
瀑	《平水韵》去声部 二十号、入声部 入声一屋；《词林正韵》入声 第十五部
瀣	《平水韵》去声部 十一队、去声部 十卦；《词林正韵》仄声 第五部
灉	《平水韵》上平声部 二冬、去声部 二宋
灊	《平水韵》下平声部 十二侵、下平声部 十四盐
炀	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
炙	《平水韵》去声部 二十二祃、去声部 二十六宥、入声部 入声十一陌；《词林正韵》入声 第十七部、仄声 第十部
炮	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
炳	《平水韵》上声部 二十三梗、去声部 二十四敬；《词林正韵》仄声 第十一部
炷	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
点	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
烜	《平水韵》上声部 十三阮、上声部 四纸
